document_number,title_zh,title_en_new,source,doc_id
PAPUWIS-UDN-001,说明书（用户手册）,User Manual,xlsx,b386af7d-fbfe-46eb-930f-414eed44f1a8
PAPUWIS-CMP-001,配置管理计划,Configuration Management Plan,xlsx,cfe363d0-337a-47a8-a7e8-879a74ed233a
PAPUWIS-PAS-001,项目立项书,Project Initiation Document,xlsx,b3080e41-81d7-449b-b9c5-4536560daae7
PAPUWIS-PMP-001,软件开发计划（即项目管理计划）,Software Development Plan,xlsx,63388300-49bd-4338-94c0-66b53bc4b6ef
PAPUWIS-QMP-001,质量保证计划,Quality Assurance Plan,xlsx,0d67a590-55f9-41f3-8529-fe4ea527165f
PAPUWIS-SRS-001,软件需求规范,Software Requirement Specification,xlsx,76f219e9-78d9-4800-b251-a6f04ee9c882
PAPUWIS-URS-001,用户需求设计规范,User Requirement Specification,xlsx,972c970f-c67f-4492-88e2-ae76b1e8a202
PAPUWIS-ADS-001,架构设计规范,Architecture Design Specification,xlsx,ad216528-6d2c-4549-bfbf-5d81dbc08370
PAPUWIS-DDS-001,详细设计规范,Detailed Design Specification,xlsx,07e1fe27-a07a-4989-85e3-43f37c30cba6
PAPUWIS-PPM-001,软件发布流程图,Software Release Flowchart,xlsx,91316c6c-8f16-48ba-a332-a4aaa5afbd08
PAPUWIS-UIDS-001,用户接口设计规范,User Interface Design Specification,xlsx,464462c0-809d-4a18-9171-86571d249962
PAPUWIS-PVR-001,软件发布验证报告,Software Release Verification Report,xlsx,9d9b969e-c0d0-4f88-ad96-2ef19ba1ef46
PAPUWIS-PVS-001,软件发布验证方案,Software release verification scheme,xlsx,4e896fa9-61fc-42a4-8b28-05fa2fea3e06
PAPUWIS-UTF-001,用户培训方案,User Training Program,xlsx,2ee44d64-7428-4be2-89a5-f15c23c0e371
PAPUWIS-RMP-001,风险管理计划,Risk Management Plan,xlsx,3573ca1c-42e0-4c51-8987-fbfaf76299ae
PAPUWIS-RAS-001,风险分析,Risk Analysis,xlsx,5a43bfc0-44cb-41d8-a009-a573922f8b95
PAPUWIS-RMR-001,风险管理报告,Risk Management Report,xlsx,3d30c6b2-afc0-40ba-9e47-b15a20a97200
PAPUWIS-NSP-001,网络安全风险管理计划,Cybersecurity Risk Management Plan,xlsx,42bf791a-647f-4f83-b4fd-c74e6d19ba5a
